0;1;2;3;4;5;6
-0.18;0.92;2.52;3;4.49;5.31;5.88
-0.18;0.92;3;3.01;4.11;5.58;5.95
-0.16;0.93;2.29;2.86;4.84;5.41;6.08
-0.15;0.92;2.84;2.97;4.51;5.08;5.61
-0.15;0.92;2.39;3.21;4.43;5;5.63
-0.16;0.92;3.21;2.85;4.52;5.06;5.51
-0.17;0.92;2.8;2.84;4.5;4.84;5.89
-0.17;0.93;2.23;2.93;4.25;5.14;5.87
-0.18;0.94;2.12;2.94;4.32;5.25;5.84
-0.18;0.93;2;3.05;4.22;5.31;5.74
-0.17;0.93;2.33;3;4.11;5.22;5.8
-0.17;0.94;2.17;2.76;4.33;5.26;6
-0.17;0.94;2.25;2.67;4.44;4.92;5.78
-0.17;0.95;2.01;2.86;4.26;5.15;5.93
-0.17;0.96;1.99;3.09;4.52;5.25;5.87
-0.16;0.97;1.78;3.14;4.67;5.55;6.07
-0.16;0.98;2.18;2.89;4.09;5;5.93
-0.16;0.98;2.15;2.97;4.52;5.47;5.76
-0.16;0.99;2.27;2.69;4.37;4.88;5.85
-0.17;1;2.42;2.68;4.23;5.25;5.67
-0.18;1;2.41;2.8;4.3;5.07;6.09
-0.18;1;2.68;3.01;4.17;5.27;5.8
-0.18;0.99;2.15;3.08;4.37;5.43;5.91
-0.16;0.98;2.01;2.84;4.69;5.34;6.01
-0.15;0.97;2.48;2.87;4.41;5.46;5.79
-0.15;0.96;1.92;3.06;4.5;5.31;5.89
-0.15;0.95;2.11;2.87;4.38;5.53;5.88
-0.16;0.95;1.85;2.97;4.24;5.1;6.12
-0.17;0.95;2.36;2.58;4.57;5.48;5.88
-0.18;0.94;2.11;2.68;4.39;5.15;5.77
-0.17;0.94;2.2;2.75;4.3;5.35;5.85
-0.17;0.94;1.9;2.81;4.49;5.15;5.92
-0.17;0.94;2.01;2.64;4.72;5.22;5.95
-0.17;0.93;2.41;2.8;4.5;4.88;5.51
-0.18;0.93;1.75;2.88;4.54;5.18;5.84
-0.2;0.94;2.1;2.68;4.42;5.54;5.82
-0.2;0.95;1.84;3.1;4.65;5.4;6.15
-0.2;0.95;2.32;2.86;4.31;5.23;5.96
-0.19;0.96;2.04;2.95;4.75;5.26;5.65
-0.19;0.97;2;2.84;4.41;5.17;5.86
-0.18;0.97;2.44;3.17;4.24;5.2;5.94
-0.16;0.97;2.03;2.69;4.32;5.18;5.78
-0.15;0.96;2.34;2.79;4.29;5.18;5.28
-0.16;0.96;2.21;2.73;4.36;5.11;5.95
-0.16;0.96;2.04;2.64;4.41;5.53;5.95
-0.16;0.96;2.43;2.92;4.33;5.13;5.9
-0.15;0.95;2.25;2.77;4.21;5.33;5.68
-0.14;0.94;2.23;3.1;4.69;5.06;5.77
-0.14;0.93;1.99;3.02;4.41;5.31;5.44
-0.14;0.94;2.4;3.08;4.21;5.38;5.52
-0.13;0.93;2.04;2.86;4.35;5.22;5.84
-0.13;0.93;2.17;3.12;4.79;5.33;5.78
-0.12;0.93;2.05;2.96;4.58;5.31;5.25
-0.11;0.94;1.89;3.01;4.25;5.39;5.82
-0.11;0.93;1.89;2.92;4.49;5.23;5.91
-0.11;0.93;2.07;3.16;3.99;5.31;5.73
